eng,part,level
AFFORDABLE:ADJECTIVE,ADJECTIVE,5
AFRAID:VERB,VERB,2
AFTER:ADVERB,ADVERB,2
AFTER:CONJUNCTION,CONJUNCTION,3
AFTERNOON:NOUN,NOUN,1
AFTERWARDS:ADVERB,ADVERB,2
AGAIN:ADVERB,ADVERB,3
AGE:NOUN,NOUN,4
AGED:ADJECTIVE,ADJECTIVE,2
AGENCY:NOUN,NOUN,4
AGENDA:NOUN,NOUN,5
AGENT:NOUN,NOUN,4
AGES:NOUN,NOUN,3
AGGRESSION:NOUN,NOUN,5
AGGRESSIVE:ADJECTIVE,ADJECTIVE,4
AGGRESSIVELY:ADVERB,ADVERB,4
AGO:ADVERB,ADVERB,3
AGREE:VERB,VERB,3
AGREEMENT:NOUN,NOUN,4
AGRICULTURE:NOUN,NOUN,4
AHEAD:ADVERB,ADVERB,3
AHEAD:ADJECTIVE,ADJECTIVE,5
AID:NOUN,NOUN,5
AID:VERB,VERB,5
AIM:NOUN,NOUN,3
AIM:VERB,VERB,4
AIR:NOUN,NOUN,4
AIR CONDITIONING:NOUN,NOUN,3
AIRCRAFT:NOUN,NOUN,4
AIR FORCE:NOUN,NOUN,3
AIRLINE:NOUN,NOUN,3
AIRPORT:NOUN,NOUN,2
ALARM:NOUN,NOUN,4
ALARM:VERB,VERB,5
ALARM CLOCK:NOUN,NOUN,2
ALARMING:ADJECTIVE,ADJECTIVE,5
ALBEIT:CONJUNCTION,CONJUNCTION,6
ALBUM:NOUN,NOUN,2
ALCOHOL:NOUN,NOUN,2
ALCOHOLIC:ADJECTIVE,ADJECTIVE,3
ALCOHOLIC:NOUN,NOUN,6
ALERT:ADJECTIVE,ADJECTIVE,5
ALERT:VERB,VERB,6
ALERT:NOUN,NOUN,5
ALIKE:VERB,VERB,3
ALIKE:ADVERB,ADVERB,4
ALIVE:NOUN,NOUN,5
ALL:ADVERB,ADVERB,4
ALLEGATION:NOUN,NOUN,5
ALLEGE:VERB,VERB,6
ALLEGED:NOUN,NOUN,5
ALLEGEDLY:ADVERB,ADVERB,6
ALLIANCE:NOUN,NOUN,6
ALLIED:ADJECTIVE,ADJECTIVE,6
ALLOCATE:VERB,VERB,5
ALLOCATION:NOUN,NOUN,6
ALLOW:VERB,VERB,4
ALLOWANCE:NOUN,NOUN,5
ALL RIGHT:ADVERB,ADVERB,2
ALL RIGHT:EXCLAMATION,EXCLAMATION,1
ALLY:NOUN,NOUN,5
ALMOST:ADVERB,ADVERB,2
ALONE:ADVERB,ADVERB,4
ALONG:ADVERB,ADVERB,3
ALONGSIDE:ADVERB,ADVERB,5
ALOUD:ADVERB,ADVERB,3
ALPHABET:NOUN,NOUN,3
ALPHABETICAL:ADJECTIVE,ADJECTIVE,4
ALREADY:ADVERB,ADVERB,2
ALRIGHT:ADVERB,ADVERB,2
ALRIGHT:EXCLAMATION,EXCLAMATION,1
ALSO:ADVERB,ADVERB,1
ALTER:VERB,VERB,4
ALTERATION:NOUN,NOUN,5
ALTERNATE:ADJECTIVE,ADJECTIVE,5
ALTERNATE:VERB,VERB,5
ALTERNATIVE:NOUN,NOUN,4
ALTERNATIVE:ADJECTIVE,ADJECTIVE,4
ALTERNATIVELY:ADVERB,ADVERB,4
ALTHOUGH:CONJUNCTION,CONJUNCTION,3
ALTOGETHER:ADVERB,ADVERB,3
ALUMINIUM:NOUN,NOUN,4
ALWAYS:ADVERB,ADVERB,2
AMATEUR:ADJECTIVE,ADJECTIVE,5
AMATEUR:NOUN,NOUN,5
AMAZED:ADJECTIVE,ADJECTIVE,3
AMAZEMENT:NOUN,NOUN,4
AMAZING:ADJECTIVE,ADJECTIVE,2
AMAZINGLY:ADVERB,ADVERB,3
AMBASSADOR:NOUN,NOUN,4
AMBIGUITY:NOUN,NOUN,6
AMBIGUOUS:ADJECTIVE,ADJECTIVE,6
AMBITION:NOUN,NOUN,3
AMBITIOUS:ADJECTIVE,ADJECTIVE,4
AMBULANCE:NOUN,NOUN,2
AMEND:VERB,VERB,6
AMENDMENT:NOUN,NOUN,5
AMOUNT:NOUN,NOUN,3
AMPLE:ADJECTIVE,ADJECTIVE,5
AMUSE:VERB,VERB,4
AMUSED:ADJECTIVE,ADJECTIVE,4
AMUSEMENT:NOUN,NOUN,4
AMUSING:ADJECTIVE,ADJECTIVE,3
ANALOGOUS:ADJECTIVE,ADJECTIVE,6
ANALOGY:NOUN,NOUN,6
ANALYSE:VERB,VERB,4
ANALYSIS:NOUN,NOUN,4
ANALYST:NOUN,NOUN,4
ANALYTICAL:ADJECTIVE,ADJECTIVE,5
ANCESTOR:NOUN,NOUN,4
ANCHOR:NOUN,NOUN,6
ANCHOR:VERB,VERB,6
ANCIENT:ADJECTIVE,ADJECTIVE,3
AND:CONJUNCTION,CONJUNCTION,1
AND:VERB,VERB,2
ANGEL:NOUN,NOUN,3
ANGER:NOUN,NOUN,4
ANGLE:NOUN,NOUN,5
ANGRILY:ADVERB,ADVERB,3
ANGRY:ADJECTIVE,ADJECTIVE,2
ANIMAL:NOUN,NOUN,2
ANIMATED:ADJECTIVE,ADJECTIVE,4
ANIMATION:NOUN,NOUN,3
ANKLE:NOUN,NOUN,3
ANNIVERSARY:NOUN,NOUN,3
ANNOUNCE:VERB,VERB,3
ANNOUNCEMENT:NOUN,NOUN,3
ANNOY:VERB,VERB,3
ANNOYANCE:NOUN,NOUN,5
ANNOYED:ADJECTIVE,ADJECTIVE,3
ANNOYING:ADJECTIVE,ADJECTIVE,3
ANNUAL:NOUN,NOUN,3
ANNUALLY:ADVERB,ADVERB,4
ANONYMOUS:ADJECTIVE,ADJECTIVE,6
ANOTHER:NOUN,NOUN,3
ANSWER:NOUN,NOUN,2
ANSWER:VERB,VERB,2
ANT:NOUN,NOUN,3
ANTIBIOTIC:NOUN,NOUN,6
ANTICIPATE:VERB,VERB,5
ANTICIPATION:NOUN,NOUN,6
ANTIQUE:NOUN,NOUN,3
ANTIQUE:ADJECTIVE,ADJECTIVE,3
ANTI-SOCIAL:ADJECTIVE,ADJECTIVE,5
ANXIETY:NOUN,NOUN,4
ANXIOUS:ADJECTIVE,ADJECTIVE,3
ANXIOUSLY:ADVERB,ADVERB,4
ANY:NOUN,NOUN,1
ANY:ADVERB,ADVERB,3
ANYBODY:NOUN,NOUN,2
ANYHOW:ADVERB,ADVERB,4
ANYMORE:ADVERB,ADVERB,2
ANYONE:NOUN,NOUN,2
ANYTHING:NOUN,NOUN,2
ANYWAY:ADVERB,ADVERB,2
ANYWHERE:ADVERB,ADVERB,3
APART:ADVERB,ADVERB,4
APARTMENT:NOUN,NOUN,2
APOLOGETIC:ADJECTIVE,ADJECTIVE,6
APOLOGISE:VERB,VERB,3
APOLOGY:NOUN,NOUN,3
APOSTROPHE:NOUN,NOUN,4
APPALLING:ADJECTIVE,ADJECTIVE,5
APPARENT:ADJECTIVE,ADJECTIVE,4
APPARENTLY:ADVERB,ADVERB,4
APPEAL:NOUN,NOUN,4
APPEAL:VERB,VERB,5
APPEAR:VERB,VERB,3
APPEARANCE:NOUN,NOUN,3
APPETITE:NOUN,NOUN,5
APPLAUD:VERB,VERB,5
APPLAUSE:NOUN,NOUN,5
APPLE:NOUN,NOUN,1
APPLIANCE:NOUN,NOUN,5
APPLICATION:NOUN,NOUN,4
APPLY:VERB,VERB,4
APPOINT:VERB,VERB,5
APPOINTMENT:NOUN,NOUN,4
APPRECIATE:VERB,VERB,4
APPRECIATION:NOUN,NOUN,4
APPROACH:VERB,VERB,3
APPROACH:NOUN,NOUN,4
APPROPRIATE:ADJECTIVE,ADJECTIVE,4
APPROPRIATELY:ADVERB,ADVERB,4
APPROVAL:NOUN,NOUN,4
APPROVE:VERB,VERB,3
APPROXIMATE:ADJECTIVE,ADJECTIVE,4
APPROXIMATELY:ADVERB,ADVERB,3
APRIL:NOUN,NOUN,1
ARBITRARY:ADJECTIVE,ADJECTIVE,6
ARCH:NOUN,NOUN,6
ARCH:VERB,VERB,6
ARCHAEOLOGIST:NOUN,NOUN,5
ARCHAEOLOGY:NOUN,NOUN,5
ARCHITECT:NOUN,NOUN,3
ARCHITECTURE:NOUN,NOUN,3
AREA:NOUN,NOUN,3
ARGUE:VERB,VERB,3
ARGUMENT:NOUN,NOUN,3
ARID:ADJECTIVE,ADJECTIVE,6
ARISE:VERB,VERB,5
ARM:NOUN,NOUN,4
ARMCHAIR:NOUN,NOUN,2
ARMED:ADJECTIVE,ADJECTIVE,5
ARMY:NOUN,NOUN,4
AROUND:ADVERB,ADVERB,3
AROUSE:VERB,VERB,6
ARRANGE:VERB,VERB,3
ARRANGEMENT:NOUN,NOUN,3
ARREST:VERB,VERB,3
ARREST:NOUN,NOUN,4
ARRIVAL:NOUN,NOUN,4
ARRIVE:VERB,VERB,4
ARROGANT:ADJECTIVE,ADJECTIVE,4
ARROW:NOUN,NOUN,4
ART:NOUN,NOUN,4
ARTICLE:NOUN,NOUN,3
ARTIFICIAL:ADJECTIVE,ADJECTIVE,5
ARTIFICIAL INTELLIGENCE:NOUN,NOUN,6
ARTIFICIALLY:ADVERB,ADVERB,4
ARTIST:NOUN,NOUN,2
ARTISTIC:ADJECTIVE,ADJECTIVE,4
AS:CONJUNCTION,CONJUNCTION,2
ASHAMED:NOUN,NOUN,3
ASIDE:ADVERB,ADVERB,4
ASK:VERB,VERB,3
ASLEEP:NOUN,NOUN,4
ASPECT:NOUN,NOUN,4
ASPIRATION:NOUN,NOUN,6
ASPIRE:VERB,VERB,6
ASPIRIN:NOUN,NOUN,3
ASPIRING:ADJECTIVE,ADJECTIVE,6
ASSAULT:NOUN,NOUN,6
ASSAULT:VERB,VERB,6
ASSEMBLE:VERB,VERB,6
ASSEMBLY:NOUN,NOUN,6
ASSERT:VERB,VERB,5
ASSERTIVE:ADJECTIVE,ADJECTIVE,6
ASSESS:VERB,VERB,4
ASSESSMENT:NOUN,NOUN,4
ASSET:NOUN,NOUN,5
ASSIGN:VERB,VERB,5
ASSIGNMENT:NOUN,NOUN,5
ASSIST:VERB,VERB,4
ASSISTANCE:NOUN,NOUN,4
ASSISTANT:NOUN,NOUN,2
ASSOCIATE:VERB,VERB,4
ASSOCIATION:NOUN,NOUN,5
ASSUME:VERB,VERB,5
ASSUMPTION:NOUN,NOUN,5
ASSURANCE:NOUN,NOUN,5
ASSURE:VERB,VERB,4
ASTONISHED:ADJECTIVE,ADJECTIVE,4
ASTONISHING:ADJECTIVE,ADJECTIVE,4
ASTONISHMENT:NOUN,NOUN,4
ASTRONOMY:NOUN,NOUN,6
ATHLETE:NOUN,NOUN,3
ATHLETIC:ADJECTIVE,ADJECTIVE,4
ATHLETICS:NOUN,NOUN,3
ATMOSPHERE:NOUN,NOUN,3
ATOM:NOUN,NOUN,4
ATOMIC:ADJECTIVE,ADJECTIVE,4
ATTACH:VERB,VERB,4
ATTACHED:ADJECTIVE,ADJECTIVE,4
ATTACHMENT:NOUN,NOUN,4
ATTACK:VERB,VERB,4
ATTACK:NOUN,NOUN,4
ATTAIN:VERB,VERB,5
ATTAINABLE:ADJECTIVE,ADJECTIVE,6
ATTEMPT:VERB,VERB,3
ATTEMPT:NOUN,NOUN,4
ATTEND:VERB,VERB,3
ATTENDANCE:NOUN,NOUN,5
ATTENTION:NOUN,NOUN,4
ATTITUDE:NOUN,NOUN,3
ATTRACT:VERB,VERB,3
ATTRACTION:NOUN,NOUN,4
ATTRACTIVE:ADJECTIVE,ADJECTIVE,3
ATTRIBUTE:VERB,VERB,6
ATTRIBUTE:NOUN,NOUN,6
AUBERGINE:NOUN,NOUN,4
AUCTION:NOUN,NOUN,5
AUDITION:NOUN,NOUN,5
AUGUST:NOUN,NOUN,1
AUNT:NOUN,NOUN,2
AUTHENTIC:ADJECTIVE,ADJECTIVE,5
AUTHOR:NOUN,NOUN,3
AUTHORITY:NOUN,NOUN,5
AUTHORIZE:VERB,VERB,5
AUTOMATIC:ADJECTIVE,ADJECTIVE,5
AUTOMATICALLY:ADVERB,ADVERB,4
AUTUMN:NOUN,NOUN,2
AVAILABILITY:NOUN,NOUN,4
AVAILABLE:ADJECTIVE,ADJECTIVE,2
AVENUE:NOUN,NOUN,5
AVERAGE:ADJECTIVE,ADJECTIVE,4
AVERAGE:NOUN,NOUN,3
AVOID:VERB,VERB,3
AWAKE:NOUN,NOUN,4
AWARD:VERB,VERB,4
AWARD:NOUN,NOUN,4
AWARE:NOUN,NOUN,4
AWARENESS:NOUN,NOUN,5
AWAY:ADVERB,ADVERB,3
AWE:NOUN,NOUN,6
AWESOME:ADJECTIVE,ADJECTIVE,4
AWFUL:ADJECTIVE,ADJECTIVE,3
AWKWARD:ADJECTIVE,ADJECTIVE,5
BABY:NOUN,NOUN,1
BABYSIT:VERB,VERB,3
BABYSITTER:NOUN,NOUN,3
BACK:ADVERB,ADVERB,3
BACK:NOUN,NOUN,4
BACK:NOUN,NOUN,3
BACK:VERB,VERB,6
BACKACHE:NOUN,NOUN,3
BACKGROUND:NOUN,NOUN,4
BACKING:NOUN,NOUN,6
BACKPACK:NOUN,NOUN,3
BACKPACKER:NOUN,NOUN,3
BACKPACKING:NOUN,NOUN,3
BACKUP:NOUN,NOUN,4
BACKWARD:NOUN,NOUN,6
BACKWARDS:ADVERB,ADVERB,3
BACON:NOUN,NOUN,3
BACTERIA:NOUN,NOUN,5
BAD:ADJECTIVE,ADJECTIVE,2
BAD:NOUN,NOUN,5
BADGE:NOUN,NOUN,4
BADLY:ADVERB,ADVERB,2
BADMINTON:NOUN,NOUN,2
BAD-TEMPERED:ADJECTIVE,ADJECTIVE,4
BAG:NOUN,NOUN,1
BAGGAGE:NOUN,NOUN,4
BAKE:VERB,VERB,2
BAKER:NOUN,NOUN,3
BALANCE:NOUN,NOUN,4
BALANCE:VERB,VERB,4
BALANCED:ADJECTIVE,ADJECTIVE,4
BALCONY:NOUN,NOUN,4
BALD:ADJECTIVE,ADJECTIVE,3
BALL:NOUN,NOUN,4
BALLET:NOUN,NOUN,3
BALLOON:NOUN,NOUN,2
BAN:VERB,VERB,4
BAN:NOUN,NOUN,4
BANANA:NOUN,NOUN,1
BAND:NOUN,NOUN,6
BANDAGE:NOUN,NOUN,3
BANDWAGON:NOUN,NOUN,6
BANG:VERB,VERB,4
BANG:NOUN,NOUN,4
BANK:NOUN,NOUN,2
BANK ACCOUNT:NOUN,NOUN,3
BANKER:NOUN,NOUN,4
BANKING:NOUN,NOUN,4
BANKRUPT:ADJECTIVE,ADJECTIVE,5
BAR:NOUN,NOUN,3
BARBECUE:NOUN,NOUN,2
BARBECUE:VERB,VERB,3
BARBER:NOUN,NOUN,3
BARE:ADJECTIVE,ADJECTIVE,4
BARE:NOUN,NOUN,6
BARELY:ADVERB,ADVERB,4
BARGAIN:NOUN,NOUN,5
BARK:VERB,VERB,5
BARK:NOUN,NOUN,6
BARMAN:NOUN,NOUN,3
BARN:NOUN,NOUN,6
BARRIER:NOUN,NOUN,4
BASE:NOUN,NOUN,5
BASE:VERB,VERB,4
BASEBALL:NOUN,NOUN,2
BASEMENT:NOUN,NOUN,4
BASIC:ADJECTIVE,ADJECTIVE,3
BASICALLY:ADVERB,ADVERB,4
BASICS:NOUN,NOUN,4
BASIN:NOUN,NOUN,3
BASIS:NOUN,NOUN,4
BASKET:NOUN,NOUN,3
BASKETBALL:NOUN,NOUN,1
BAT:NOUN,NOUN,2
BATH:NOUN,NOUN,1
BATHROOM:NOUN,NOUN,1
BATTERY:NOUN,NOUN,4
BATTLE:NOUN,NOUN,4
BATTLE:VERB,VERB,6
BAY:NOUN,NOUN,4
BE:VERB,VERB,1
BE:VERB,VERB,2
BEACH:NOUN,NOUN,1
BEAK:NOUN,NOUN,5
BEAM:NOUN,NOUN,4
BEAN:NOUN,NOUN,2
BEAR:NOUN,NOUN,2
BEAR:VERB,VERB,5
BEARD:NOUN,NOUN,1
BEAT:VERB,VERB,4
BEAT:NOUN,NOUN,4
BEAUTIFUL:ADJECTIVE,ADJECTIVE,1
BEAUTIFULLY:ADVERB,ADVERB,3
BEAUTY:NOUN,NOUN,4
BECAUSE:CONJUNCTION,CONJUNCTION,1
BECOME:VERB,VERB,4
BED:NOUN,NOUN,4
BEDROOM:NOUN,NOUN,1
BEE:NOUN,NOUN,3
BEEF:NOUN,NOUN,3
BEER:NOUN,NOUN,1
BEFORE:CONJUNCTION,CONJUNCTION,3
BEFORE:ADVERB,ADVERB,4
BEG:VERB,VERB,4
BEGIN:VERB,VERB,2
BEGINNER:NOUN,NOUN,2
BEGINNING:NOUN,NOUN,2
BEHALF:NOUN,NOUN,4
BEHAVE:VERB,VERB,3
BEHAVIOUR:NOUN,NOUN,3
BEHIND:ADVERB,ADVERB,4
BEING:NOUN,NOUN,6
BELIEF:NOUN,NOUN,5
BELIEVE:VERB,VERB,2
BELL:NOUN,NOUN,4
BELONG:VERB,VERB,4
BELONGINGS:NOUN,NOUN,4
BELOW:ADVERB,ADVERB,3
BELT:NOUN,NOUN,4
BENCH:NOUN,NOUN,4
BEND:VERB,VERB,4
BEND:NOUN,NOUN,5
BENEFICIAL:ADJECTIVE,ADJECTIVE,4
BENEFIT:NOUN,NOUN,5
BENEFIT:VERB,VERB,4
BERRY:NOUN,NOUN,4
BESIDES:ADVERB,ADVERB,3
BEST:ADJECTIVE,ADJECTIVE,3
BEST:ADVERB,ADVERB,3
BEST:NOUN,NOUN,4
BESTSELLER:NOUN,NOUN,4
BET:VERB,VERB,4
BET:NOUN,NOUN,6
BETRAY:VERB,VERB,4
BETTER:ADJECTIVE,ADJECTIVE,1
BETTER:ADVERB,ADVERB,3
BETWEEN:ADVERB,ADVERB,5
BEWARE:VERB,VERB,5
BEYOND:ADVERB,ADVERB,5
BIAS:NOUN,NOUN,6
BIASED:ADJECTIVE,ADJECTIVE,5
BICYCLE:NOUN,NOUN,2
BID:NOUN,NOUN,5
BID:VERB,VERB,6
BIG:ADJECTIVE,ADJECTIVE,3
BIKE:NOUN,NOUN,2
BIKINI:NOUN,NOUN,4
BILINGUAL:ADJECTIVE,ADJECTIVE,5
BILL:NOUN,NOUN,2
BILLION:NOUN,NOUN,4
BIN:NOUN,NOUN,3
BIND:VERB,VERB,6
BIOGRAPHY:NOUN,NOUN,3
BIOLOGICAL:ADJECTIVE,ADJECTIVE,4
BIOLOGY:NOUN,NOUN,2
BIRD:NOUN,NOUN,1
BIRTH:NOUN,NOUN,4
BIRTHDAY:NOUN,NOUN,1
BISCUIT:NOUN,NOUN,1
BIT:NOUN,NOUN,3
BITE:VERB,VERB,3
BITE:NOUN,NOUN,4
BITTER:ADJECTIVE,ADJECTIVE,4
BIZARRE:ADJECTIVE,ADJECTIVE,4
BLACK:ADJECTIVE,ADJECTIVE,1
BLACK:NOUN,NOUN,2
BLACKBOARD:NOUN,NOUN,2
BLACKMAIL:NOUN,NOUN,6
BLACKMAIL:VERB,VERB,6
BLADE:NOUN,NOUN,4
BLAME:VERB,VERB,4
BLAME:NOUN,NOUN,4
BLAND:ADJECTIVE,ADJECTIVE,6
BLANK:ADJECTIVE,ADJECTIVE,4
BLANKET:NOUN,NOUN,4
BLEAK:ADJECTIVE,ADJECTIVE,6
BLEED:VERB,VERB,3
BLEND:NOUN,NOUN,6
BLIND:ADJECTIVE,ADJECTIVE,4
BLIND:NOUN,NOUN,5
BLINDNESS:NOUN,NOUN,5
BLINK:VERB,VERB,4
BLINK:NOUN,NOUN,6
BLISTER:NOUN,NOUN,6
BLOCK:NOUN,NOUN,4
BLOCK:VERB,VERB,5
BLOG:NOUN,NOUN,3
BLOG:VERB,VERB,3
BLOGGER:NOUN,NOUN,3
BLONDE:ADJECTIVE,ADJECTIVE,2
BLOOD:NOUN,NOUN,5
BLOODY:ADJECTIVE,ADJECTIVE,5
BLOW:VERB,VERB,4
BLOW:NOUN,NOUN,6
BLUE:ADJECTIVE,ADJECTIVE,3
BLUE:NOUN,NOUN,3
BLUNT:ADJECTIVE,ADJECTIVE,6
BLUSH:VERB,VERB,4
BOARD:NOUN,NOUN,2
BOARD:VERB,VERB,5
BOARD:VERB,VERB,3
BOARD GAME:NOUN,NOUN,2
BOAST:VERB,VERB,5
BOAT:NOUN,NOUN,4
BODY:NOUN,NOUN,2
BODY:VERB,VERB,6
BOIL:VERB,VERB,3
BOILED:ADJECTIVE,ADJECTIVE,2
BOILING:ADJECTIVE,ADJECTIVE,4
BOLD:ADJECTIVE,ADJECTIVE,3
BOLDLY:ADVERB,ADVERB,4
BOMB:NOUN,NOUN,3
BOMB:VERB,VERB,3
BOMBER:NOUN,NOUN,5
BOMBING:NOUN,NOUN,4
BOND:NOUN,NOUN,4
BOND:VERB,VERB,6
BONE:NOUN,NOUN,4
BONUS:NOUN,NOUN,4
BOOK:NOUN,NOUN,4
BOOK:VERB,VERB,2
BOOKCASE:NOUN,NOUN,2
BOOKING:NOUN,NOUN,3
BOOKLET:NOUN,NOUN,4
BOOKMARK:NOUN,NOUN,4
BOOKMARK:VERB,VERB,4
BOOKSHELF:NOUN,NOUN,2
BOOKSHOP:NOUN,NOUN,2
BOOST:NOUN,NOUN,4
BOOST:VERB,VERB,4
BOOT:NOUN,NOUN,2
BORDER:NOUN,NOUN,3
BORED:ADJECTIVE,ADJECTIVE,1
BORING:ADJECTIVE,ADJECTIVE,1
BORN:VERB,VERB,4
BORROW:VERB,VERB,3
BOSS:NOUN,NOUN,2
BOSSY:ADJECTIVE,ADJECTIVE,4
BOTH:NOUN,NOUN,3
BOTHER:VERB,VERB,3
BOTHERED:NOUN,NOUN,4
BOTTLE:NOUN,NOUN,2
BOTTOM:NOUN,NOUN,3
BOUNCE:VERB,VERB,4
BOUND:ADJECTIVE,ADJECTIVE,4
BOUND:NOUN,NOUN,6
BOUNDARY:NOUN,NOUN,5
BOW:NOUN,NOUN,4
BOWL:NOUN,NOUN,2
BOX:NOUN,NOUN,1
BOXING:NOUN,NOUN,3
BOY:NOUN,NOUN,1
BOYFRIEND:NOUN,NOUN,2
BRA:NOUN,NOUN,4
BRACKET:NOUN,NOUN,4
BRAIN:NOUN,NOUN,3
BRAKE:NOUN,NOUN,3
BRAKE:VERB,VERB,4
BRANCH:NOUN,NOUN,3
BRAND:NOUN,NOUN,4
BRAND NEW:ADJECTIVE,ADJECTIVE,3
